Male Node ID,Female Node ID
m5338,f17711
m10972,f9300
m9027,f11142
m3853,f17441
m5480,f15055
m11949,f14453
m15431,f1005
m3367,f7946
m14721,f8037
m5045,f17543
m15603,f75
m1410,f7392
m17332,f3477
m17136,f7375
m7365,f18452
m3322,f10968
m15130,f11947
m4161,f2279
m12289,f3027
m4066,f3487
m17457,f800
m12789,f15129
m18329,f5006
m2645,f15387
m630,f17206
m8991,f3252
m12861,f13934
m8850,f5729
m9789,f14557
m8026,f7856
m2846,f10608
m1252,f7811
m3270,f9083
m586,f14961
m2572,f15365
m12157,f10452
m729,f8985
m2576,f8917
m5073,f523
m11188,f12052
m7379,f15423
m9955,f2929
m17194,f7313
m9288,f11816
m11782,f7010
m3965,f6586
m15571,f17531
m9493,f2245
m13721,f7180
m685,f649
m6586,f10311
m15714,f17091
m13791,f4777
m601,f15404
m16107,f6486
m12072,f1436
m12643,f13128
m13221,f8922
m2603,f3397
m12858,f18226
m3241,f7330
m17155,f12292
m15008,f5461
m15270,f10745
m7879,f18119
m8540,f13267
m15600,f15705
m13719,f17653
m14684,f16869
m12797,f85
m1063,f15813
m4181,f468
m11826,f7199
m13751,f14110
m12347,f17381
m2187,f15008
m8234,f4811
m1466,f4942
m16057,f17197
m7727,f4240
m5585,f1563
m10100,f15788
m10196,f3820
m6558,f5882
m5697,f13034
m4032,f18191
m14394,f7089
m16948,f13765
m14003,f8177
m8299,f5586
m5833,f8148
m11050,f6221
m1436,f16571
m1718,f1438
m12433,f5670
m9193,f15817
m1023,f13443
m2700,f7286
m16038,f4888
m2869,f11837
m12851,f11112
m16628,f391
m3668,f14834
m16041,f4706
m13216,f3197
m14628,f7423
m2106,f4049
m12954,f11581
m13593,f3062
m8293,f12790
m8418,f3748
m15705,f17372
m12008,f7173
m10096,f7270
m9333,f14821
m2386,f2639
m13667,f2866
m14746,f9851
m9731,f15809
m3169,f12385
m7206,f4809
m4343,f7588
m9009,f9898
m11283,f909
m14993,f7590
m6309,f5146
m15180,f15992
m7952,f29
m6254,f15103
m4641,f952
m16105,f548
m1613,f14190
m18039,f1212
m14228,f18239
m14607,f16998
m16146,f12168
m16088,f9574
m10850,f17134
m13143,f3912
m16732,f15370
m11567,f12989
m1295,f9088
m8248,f1862
m1515,f4290
m17641,f16243
m6595,f12892
m6277,f12085
m16977,f12295
m9039,f4958
m13467,f6470
m9946,f17468
m4817,f1881
m3533,f12674
m15437,f641
m15830,f45
m15241,f16099
m18133,f8443
m9112,f806
m17804,f8025
m11432,f13960
m10852,f17458
m6876,f14308
m13695,f13297
m7731,f14818
m16059,f3835
m8403,f1967
m3304,f4794
m6089,f5252
m15416,f10175
m736,f17823
m8143,f13741
m5243,f1984
m7479,f12243
m17272,f3575
m6578,f18237
m8249,f4860
m11834,f11371
m8297,f17952
m13375,f13790
m17678,f13589
m10556,f4514
m2949,f16723
m11693,f17873
m11498,f10012
m8699,f2393
m1156,f16529
m8091,f13477
m11354,f14369
m14133,f3042
m13795,f7120
m4248,f8702
m16496,f6747
m3097,f5178
m12199,f6522
m843,f6482
m17662,f12197
m7235,f2447
m8345,f9282
m13671,f1121
m15023,f17353
m5504,f7886
m15991,f924
m5957,f4547
m6451,f11607
m5787,f329
m15813,f16563
m17103,f13167
m28,f13707
m616,f5621
m3665,f7563
m15788,f9566
m15742,f17660
m3429,f6959
m15053,f8019
m3036,f18353
m2973,f12998
m10542,f10428
m5432,f13170
m8383,f12098
m3741,f5409
m4681,f12037
m12761,f5319
m10710,f524
m14319,f11448
m6257,f15340
m15428,f11019
m7908,f3767
m12391,f12752
m17656,f2234
m1583,f6701
m8278,f12313
m2879,f12210
m14427,f11846
m12748,f4689
m13780,f16406
m14147,f10557
m10271,f12640
m14120,f1584
m5129,f2052
m7456,f299
m1584,f11409
m3964,f9855
m1026,f1328
m7645,f13745
m3830,f17227
m13912,f8292
m4362,f8066
m115,f7462
m11935,f17602
m18387,f1662
m5949,f15276
m6611,f4814
m8018,f6279
m8081,f5093
m3354,f13156
m9152,f5339
m16621,f15839
m6028,f5008
m5508,f4883
m3356,f5353
m9085,f11330
m11039,f4578
m15472,f3148
m1635,f5195
m612,f13640
m10216,f6302
m4449,f11700
m6896,f5573
m3507,f9421
m10636,f12724
m892,f2446
m6290,f6476
m11898,f15216
m15479,f4602
m8498,f8724
m9154,f10932
m11466,f11101
m6843,f10944
m11768,f13158
m16464,f3363
m5390,f7785
m5056,f7229
m13906,f324
m12642,f9994
m5871,f7407
m11312,f5235
m13421,f1022
m8917,f12272
m8407,f4545
m7711,f3977
m2893,f5598
m15778,f17226
m4552,f320
m1298,f9444
m14670,f1203
m11583,f1538
m2124,f6092
m919,f2070
m14215,f14373
m1611,f3816
m3514,f14195
m14842,f4711
m8150,f12111
m4663,f17095
m11940,f3537
m9611,f203
m3723,f5149
m11553,f13437
m5023,f5108
m2727,f3545
m16380,f10006
m9907,f12337
m194,f16044
m14451,f6698
m4593,f2617
m5352,f2883
m5482,f10587
m17164,f12851
m7513,f1866
m915,f16968
m11262,f1604
m14203,f14680
m17960,f4705
m11229,f10441
m4569,f1567
m6764,f5304
m14791,f4553
m1524,f4619
m13200,f1625
m6593,f14329
m12911,f17553
m7252,f3738
m17435,f17552
m13595,f1766
m14431,f1676
m14552,f3618
m2115,f5735
m7225,f10843
m8660,f9922
m11629,f6877
m10552,f17435
m443,f311
m13270,f10649
m92,f10310
m5962,f3153
m9248,f3910
m7548,f8781
m13383,f13221
m16366,f4700
m3518,f13747
m7534,f11246
m7547,f16162
m10855,f15853
m17726,f14732
m4422,f4231
m18412,f4241
m2685,f13598
m6543,f14521
m10312,f444
m13033,f13996
m4112,f13120
m3744,f18402
m4284,f11400
m10325,f14634
m12234,f10331
m4989,f1134
m14437,f13543
m13691,f3733
m14417,f14638
m8160,f16866
m3995,f13067
m8584,f441
m2220,f2316
m7368,f7743
m10385,f15574
m5074,f3426
m11605,f8136
m9497,f2068
m11201,f3213
m4928,f13594
m18284,f11646
m7305,f6492
m2519,f17079
m609,f7950
m7446,f13087
m4738,f894
m6933,f1593
m12064,f11480
m13863,f13317
m16863,f17367
m2732,f2188
m10629,f278
m16900,f6919
m10396,f4835
m7101,f12688
m9308,f491
m2515,f7252
m5375,f12731
m3555,f13003
m505,f13780
m15208,f9002
m5164,f17391
m7294,f16737
m9871,f5177
m16328,f11824
m9584,f2898
m7759,f17865
m14273,f12096
m3303,f16875
m14758,f14290
m7912,f5172
m15085,f16336
m9670,f14104
m4508,f13675
m9481,f1610
m11559,f2343
m2575,f12321
m7613,f6779
m14098,f9096
m14612,f14221
m2012,f9507
m15580,f16616
m17713,f16114
m2308,f12205
m10071,f446
m17315,f16156
m4264,f16631
m12808,f5017
m4534,f17460
m2381,f16264
m7610,f16113
m13828,f10437
m635,f17463
m8312,f567
m17904,f738
m8074,f17682
m4359,f8932
m4339,f10193
m16589,f6207
m405,f16601
m17858,f2610
m3686,f134
m10275,f15085
m16123,f675
m4471,f16856
m17870,f18366
m15400,f3504
m17511,f14765
m2639,f12297
m13783,f11567
m10660,f10225
m4866,f15298
m17603,f16482
m8544,f16829
m1009,f8534
m16607,f12678
m2097,f362
m11250,f13271
m15020,f17876
m6573,f8437
m14248,f2298
m3656,f7473
m14430,f3089
m10760,f8672
m10970,f13871
m17453,f5566
m9393,f12770
m6988,f10825
m1060,f4563
m647,f1886
m2404,f5636
m12902,f13139
m16769,f12349
m735,f5466
m4056,f13497
m10588,f5717
m15403,f14432
m16347,f14478
m11698,f16878
m5877,f17577
m11696,f7998
m3197,f13986
m1035,f17524
m18302,f7414
m5727,f7798
m5399,f345
m840,f5803
m3532,f4940
m10591,f2310
m6130,f6261
m9989,f632
m2965,f3286
m15595,f15882
m4425,f12414
m16650,f7436
m1079,f11542
m1945,f2121
m768,f9917
m14877,f16676
m11888,f84
m17631,f14250
m16345,f9896
m13996,f16475
m7656,f9673
m16388,f11197
m16437,f1492
m9287,f18392
m8328,f8527
m1116,f13296
m11429,f1498
m11408,f8344
m9121,f10902
m9362,f5533
m18160,f14829
m4327,f2814
m10387,f9331
m173,f17103
m16906,f13611
m9777,f9787
m7474,f17057
m4017,f13487
m5028,f5321
m13024,f18510
m12592,f9528
m2096,f3473
m997,f15245
m1601,f17490
m4994,f15637
m5603,f12835
m13890,f12176
m7887,f6723
m7149,f534
m17310,f7831
m10924,f5988
m6145,f17496
m6247,f16772
m5565,f16386
m8586,f8159
m15118,f14254
m16320,f12438
m7706,f9959
m1697,f2214
m14374,f7078
m9665,f7922
m1291,f698
m13254,f7988
m17948,f17318
m11540,f10442
m9002,f17723
m10309,f7358
m6592,f9920
m1241,f17305
m11586,f10107
m17623,f1587
m8008,f6142
m12614,f11202
m1131,f6010
m11035,f3957
m9246,f2581
m8363,f11429
m472,f14160
m16549,f18225
m6422,f12303
m15760,f12547
m5935,f12372
m15234,f4576
m5441,f3986
m5242,f15094
m665,f5384
m11764,f17638
m1737,f5043
m2542,f9865
m14459,f9316
m13393,f5285
m8057,f9051
m12349,f7575
m14007,f592
m14903,f18071
m9519,f12833
m11126,f9658
m14031,f2182
m8134,f5775
m4463,f3253
m723,f3787
m6825,f4903
m10534,f12789
m2761,f15078
m17267,f4236
m17499,f151
m1546,f17996
m4608,f12064
m3227,f2823
m17518,f22
m10289,f7067
m16385,f5153
m4888,f16417
m1936,f16514
m5085,f16836
m8064,f2888
m11560,f15896
m9534,f4680
m16368,f5318
m7381,f114
m5600,f17159
m7160,f1264
m18162,f17911
m14323,f11213
m12479,f4818
m12702,f737
m4075,f2595
m9196,f3762
m16659,f14483
m3620,f16289
m15372,f18257
m2935,f9366
m8864,f13264
m5374,f4555
m10364,f17744
m16794,f2012
m1140,f17373
m10077,f8835
m9349,f8347
m9554,f16363
m14760,f13971
m14551,f9037
m10818,f5758
m10619,f2417
m7786,f9681
m3568,f4318
m233,f17002
m15197,f16210
m12248,f9044
m15047,f1421
m2655,f9764
m17874,f10795
m9919,f3647
m14500,f8717
m1196,f5917
m3895,f586
m7910,f12014
m14128,f6073
m16579,f17178
m17064,f13602
m767,f9291
m4672,f7816
m11475,f5940
m13858,f3808
m2621,f7814
m8990,f3913
m5827,f5360
m12423,f13106
m7346,f10947
m3294,f11379
m1442,f9832
m849,f9722
m9764,f6679
m6249,f10366
m15226,f9222
m2383,f17429
m11480,f16834
m3712,f4066
m1654,f11102
m10808,f9475
m1016,f318
m1411,f3995
m14145,f3865
m14636,f4652
m6188,f5419
m305,f4586
m16049,f13504
m5103,f3301
m2852,f16103
m2191,f17297
m2229,f15918
m9341,f16887
m12787,f13213
m15672,f5897
m592,f18068
m7512,f14939
m15798,f1873
m13282,f8602
m12741,f1315
m13431,f7429
m3831,f6058
m1885,f383
m12444,f2475
m12675,f16372
m6415,f13082
m16469,f5733
m12948,f18494
m2880,f7604
m16277,f2649
m16916,f14435
m3329,f17309
m13392,f3152
m1195,f11667
m16374,f14891
m16733,f15437
m5659,f6025
m4434,f5781
m15817,f13738
m13972,f11051
m10101,f14591
m5811,f14382
m1644,f6905
m6032,f17933
m1958,f15560
m361,f9826
m13881,f16383
m3440,f17249
m17591,f1805
m7603,f1636
m17379,f14751
m10864,f10702
m11342,f817
m234,f5722
m10066,f9234
m13349,f2406
m5954,f16937
m8503,f389
m2343,f6567
m6830,f17361
m14716,f3270
m12223,f15655
m10227,f5603
m3192,f5362
m12330,f12528
m2600,f5622
m16117,f15571
m1422,f1070
m6749,f10434
m6667,f13653
m11648,f11140
m13307,f17687
m4388,f3482
m2129,f11138
m3667,f14407
m5281,f16137
m11958,f12338
m18020,f17606
m6688,f10965
m6031,f6598
m13188,f13204
m8069,f8221
m12919,f2534
m12777,f271
m9426,f16546
m2401,f14074
m9689,f5072
m7372,f532
m9766,f16126
m252,f12963
m10867,f1453
m1767,f11465
m14141,f1216
m2750,f11757
m2311,f17417
m15806,f17048
m5254,f14468
m12290,f4378
m8244,f14919
m3915,f884
m926,f15031
m11968,f16858
m7202,f7867
m15607,f11495
m8813,f1570
m8316,f8802
m3521,f11670
m4026,f12899
m13770,f8993
m1912,f6975
m9752,f12146
m6194,f2292
m16782,f4672
m18362,f742
m2950,f4259
m12640,f117
m11352,f4173
m10874,f17745
m16539,f17210
m11442,f2731
m6906,f13032
m12638,f8780
m3814,f667
m12506,f10930
m15480,f4712
m12120,f8117
m6307,f5260
m3632,f6616
m12096,f11804
m8400,f16924
m8032,f17872
m5235,f9394
m11753,f11901
m5661,f1901
m8100,f6236
m1986,f16469
m16696,f1782
m10729,f9556
m12026,f332
m14959,f8701
m14848,f1306
m1208,f8794
m14518,f1945
m6956,f5575
m11066,f932
m7203,f1348
m14157,f11871
m12469,f10337
m15727,f10480
m744,f11121
m8317,f2134
m2390,f11015
m13187,f7416
m4087,f12834
m14726,f9790
m6243,f7118
m5203,f17973
m3926,f12255
m14064,f16030
m12630,f239
m3360,f15072
m14470,f5288
m10910,f4754
m15993,f2041
m9754,f10739
m9988,f1127
m10987,f15961
m5493,f15000
m18515,f8460
m12887,f6401
m16490,f2964
m8313,f5037
m11131,f10177
m14613,f1783
m5091,f12199
m9424,f5774
m17862,f7871
m9704,f10779
m10837,f6749
m11779,f9604
m8545,f13801
m16071,f1502
m12641,f6763
m4506,f12274
m14348,f7877
m15987,f17914
m17582,f13539
m7615,f10975
m12977,f15409
m16151,f13281
m15396,f14723
m18382,f596
m6386,f15516
m18211,f10063
m3637,f4782
m1728,f11707
m7142,f9457
m9608,f13062
m14642,f17561
m11455,f4528
m5099,f15050
m1301,f16626
m6449,f14571
m10,f15212
m11965,f9884
m7007,f13725
m17496,f3633
m393,f17004
m1766,f17651
m17265,f438
m7966,f5111
m1677,f15236
m3373,f12874
m3970,f375
m12928,f1703
m4230,f1880
m1645,f18205
m5491,f10851
m13163,f8924
m11946,f10396
m7438,f3607
m6654,f12847
m4281,f11279
m2701,f8560
m16808,f11058
m16699,f285
m1591,f4115
m18151,f4252
m425,f4226
m14537,f10059
m2518,f17070
m6423,f9669
m6650,f13092
m9071,f2504
m10162,f10798
m12974,f5127
m10168,f14916
m12874,f2790
m632,f9886
m4666,f6336
m5573,f18364
m18437,f5074
m8348,f4431
m10388,f14209
m9638,f9027
m7871,f9657
m14160,f4865
m44,f6750
m13206,f7681
m8359,f16523
m16047,f11143
m1180,f3846
m4683,f17527
m15122,f16985
m11196,f11122
m2180,f1312
m11883,f17331
m10347,f4060
m3146,f15385
m16289,f12182
m13923,f5142
m2974,f11200
m2661,f9801
m12151,f12433
m13761,f11423
m5027,f1238
m885,f10214
m12908,f14251
m18311,f1379
m10155,f6785
m4600,f790
m2146,f7195
m4753,f9873
m18043,f12130
m627,f7731
m13985,f13258
m18138,f16754
m7793,f11730
m15468,f16574
m9463,f12773
m2623,f15590
m3848,f8342
m3705,f803
m12826,f4070
m5977,f18002
m1404,f12268
m4702,f6582
m5559,f17375
m6276,f8771
m4051,f14043
m8893,f6676
m15090,f6282
m9033,f9904
m2226,f8351
m5579,f8536
m4785,f56
m1405,f91
m13215,f1479
m14170,f2000
m18521,f9403
m5969,f538
m16726,f12533
m16591,f5231
m2450,f14984
m7661,f13822
m16551,f7745
m17653,f6391
m1739,f8843
m4088,f2999
m5429,f8058
m15877,f289
m15923,f3685
m3460,f12677
m6889,f8795
m4289,f8254
m3963,f435
m17830,f2679
m3727,f3021
m10568,f17612
m6342,f14042
m4957,f10701
m13476,f1012
m8650,f6280
m6155,f17732
m15853,f4572
m14923,f6743
m4674,f1336
m9296,f15214
m18075,f6693
m8277,f5374
m14520,f18262
m10463,f14670
m7344,f5962
m12686,f7929
m15968,f722
m16236,f14784
m1821,f16706
m15006,f104
m8048,f8852
m10252,f16696
m622,f9542
m18180,f9667
m11305,f13432
m12435,f2178
m4767,f14306
m9385,f5481
m4290,f9384
m13243,f12801
m11546,f13193
m8568,f9671
m6447,f7402
m5010,f8753
m13459,f11889
m11417,f8920
m10290,f3494
m3457,f12692
m2184,f7336
m11518,f8132
m10519,f13823
m12795,f11679
m11059,f3284
m16511,f7510
m8282,f5762
m18478,f11618
m5495,f11190
m6616,f527
m18135,f4723
m8170,f7296
m261,f6289
m7454,f2397
m6662,f16994
m9771,f16555
m6550,f4011
m2362,f9445
m8686,f9756
m10787,f6197
m18154,f5531
m4236,f15100
m3447,f16973
m5278,f9608
m6268,f17096
m2451,f2155
m7363,f11765
m57,f150
m4212,f17758
m14053,f12009
m9639,f17198
m17200,f14249
m10769,f15483
m17327,f1059
m9942,f17509
m17992,f13677
m460,f1304
m4558,f17859
m2702,f6175
m15316,f1546
m15509,f15028
m14405,f1407
m2309,f13925
m11800,f5665
m263,f17947
m12221,f4644
m11423,f13760
m18014,f11599
m3849,f7466
m17130,f11886
m797,f7240
m5382,f8619
m13211,f3120
m17636,f18116
m6146,f9792
m13419,f10656
m13898,f15518
m2037,f2221
m6215,f11438
m16554,f4295
m13684,f13848
m11859,f9414
m1929,f3596
m14649,f10988
m14669,f10770
m2589,f16797
m12261,f10822
m10453,f18154
m5627,f1300
m12978,f16851
m5523,f16397
m8455,f2262
m12116,f520
m875,f15974
m2558,f1460
m3014,f16681
m11400,f9467
m18061,f6502
m11565,f1223
m12494,f526
m1580,f16358
m342,f4098
m15500,f11746
m16837,f5578
m7079,f4837
m16909,f18023
m3639,f16683
m13928,f4454
m2078,f14451
m16739,f11706
m9241,f3172
m7715,f16845
m5555,f1416
m6256,f8414
m15781,f6106
m23,f13131
m15433,f12559
m16061,f17898
m7874,f17188
m14819,f17148
m16406,f5395
m6334,f3642
m10872,f4137
m14917,f10703
m5908,f5546
m15018,f13157
m12293,f17714
m15835,f17284
m18246,f11216
m12089,f12286
m8891,f13390
m10771,f11953
m14351,f13679
m16402,f18417
m2208,f912
m5110,f14579
m16559,f8191
m1388,f10155
m3308,f7124
m3822,f16528
m4944,f5751
m16403,f2675
m5515,f5138
m18195,f16050
m15317,f5009
m7688,f1796
m13805,f17089
m593,f107
m2415,f3275
m3716,f17703
m11809,f14277
m1812,f6666
m1693,f814
m11705,f4443
m7769,f15469
m14022,f10796
m8835,f715
m15141,f3907
m14507,f2246
m12587,f439
m15905,f1067
m12137,f2623
m8102,f11878
m2337,f9686
m17053,f2022
m4120,f4218
m4719,f12629
m14809,f7624
m15898,f2125
